video_id,title,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,active_since_days
v=v4dpu3c17Yw,16 WEIRD CRAFTS YOU DEFINITELY HAVE TO TRY,730,10409509,42,8,0,7,0,3,5.25,1,1,-0.25,1460
v=3epI-QB1LNY,17 AWESOMELY EASY FASHION DIYs,1020,1507369,30,5,0,3,0,0,6.0,1,1,0.43333333333333335,1460
v=ahmrubPHYlI,18 TRAVEL HACKS THAT WILL SAVE YOUR TRIP,495,2529349,40,8,0,7,0,3,5.0,1,1,0.0,1460
v=Z6DL_E_139c,68 SECRETS TO HELP YOU GAIN SUCCESS,1080,99742,35,7,0,6,0,2,5.0,1,1,0.3,1460
v=t50OQbrmTvc,16 TOTALLY CRAZY EXPERIMENTS YOU CAN DO AT HOME,501,17700050,47,9,0,8,0,4,5.222222222222222,1,1,-0.6,1460
v=CrynZi4k7ws,32 REASONS YOU NEED TO TRAVEL MORE,700,141466,34,7,0,6,0,3,4.857142857142857,1,1,0.5,1460
v=Mi3Zzi-_6DY,7 PLANT DIYs TO TURN YOUR THUMB GREEN,393,259186,37,8,0,6,0,2,4.625,1,1,-0.2,1460
v=RHUJeEROjgM,20 BEST MARRIAGE TIPS OF ALL TIME,567,7064019,33,7,0,6,0,2,4.714285714285714,1,1,1.0,1460
v=X9c5U-zZsqs,18 SIMPLE WAYS TO LOSE WEIGHT FAST,591,1760282,34,7,0,6,0,1,4.857142857142857,1,1,0.1,1460
v=0kJKeDAvKec,21 TERRIFYING PHONE DIY'S YOU SHOULD TRY,540,3942027,40,7,1,6,0,2,5.714285714285714,1,1,-1.0,1460
v=WXQB3ss8zX8,20 LAZY CLEANING HACKS THAT'LL CHANGE YOUR LIFE,540,3632810,47,8,1,7,0,2,5.875,1,1,-0.25,1460
v=0Mj-SSc7-g8,30 EPIC THINGS TO DO WHEN YOU'RE BORED,900,29689948,38,8,1,7,0,4,4.75,1,1,-0.2,1460
v=qwKwSBOUocg,23 QUIRKY WAYS TO USE YOUR CUTLERY,575,289334,34,7,0,6,0,2,4.857142857142857,1,1,0.0,1460
v=5YWe91eeASE,41 MAGIC TRICKS TO DO AT HOME,900,293679,29,7,0,6,0,3,4.142857142857143,1,1,0.5,1460
v=gsDkp1LaoIs,10 AWESOME HACKS WITH THINGS YOU HAVE AT HAND,550,535874,45,9,0,8,0,4,5.0,1,1,1.0,1460
